类名,WMC,RFC,DIT,NOC,CBO,LCOM,超阈项
UserController,4,8,0,0,1,0,否
RepairOrderController,4,8,0,0,1,0,否
DispatchController,3,6,0,0,1,0,否
MaintenanceController,4,8,0,0,1,0,否
AcceptanceController,3,6,0,0,2,0,否
QueryStatisticsController,3,6,0,0,2,1,否
UserPermissionService,5,5,0,0,2,0,否
RepairOrderService,4,4,0,0,2,0,否
DispatchService,3,3,0,0,2,0,否
MaintenanceService,5,5,0,0,2,0,否
EvaluationService,2,2,0,0,2,0,否
AcceptanceService,3,3,0,0,2,0,否
QueryService,2,2,0,0,2,0,否
StatisticsService,4,4,0,0,2,0,否
OrderStateService,8,8,0,0,5,0,否
FileStorageService,3,3,0,0,2,0,否
UserPermissionServiceImpl,7,12,0,0,3,0,否
RepairOrderServiceImpl,8,15,0,0,7,0,否
DispatchServiceImpl,5,11,0,0,5,0,否
MaintenanceServiceImpl,11,18,0,0,4,1,否
EvaluationServiceImpl,4,9,0,0,3,0,否
AcceptanceServiceImpl,7,15,0,0,5,0,否
QueryServiceImpl,4,7,0,0,2,0,否
StatisticsServiceImpl,6,10,0,0,5,9,是
OrderStateServiceImpl,10,13,0,0,3,0,否
LocalFileStorageServiceImpl,6,6,0,0,1,0,否
AbstractAuditableEntity,1,1,0,2,0,0,否
SysUser,3,3,1,0,2,1,否
SysRole,2,2,0,0,2,1,否
SysUserRole,1,1,0,0,3,0,否
RepairOrder,2,2,1,0,5,1,否
RepairType,2,2,0,0,2,0,否
RepairLocation,2,2,0,0,2,0,否
RepairImage,1,1,0,0,2,0,否
DispatchRecord,1,1,0,0,1,0,否
RepairRecord,2,2,0,0,1,1,否
AcceptanceRecord,2,2,0,0,1,0,否
EvaluationRecord,1,1,0,0,1,0,否
OrderStatusLog,1,1,0,0,2,0,否
UserPermissionRepository,6,6,0,0,5,0,否
RepairOrderRepository,5,5,0,0,8,0,否
RepairTypeRepository,2,2,0,0,2,0,否
RepairLocationRepository,2,2,0,0,2,0,否
RepairImageRepository,3,3,0,0,2,0,否
DispatchRepository,4,4,0,0,2,0,否
MaintenanceRepository,4,4,0,0,4,0,否
AcceptanceRepository,3,3,0,0,4,0,否
EvaluationRepository,3,3,0,0,3,0,否
OrderStatusRepository,3,3,0,0,2,0,否
JwtTokenProvider,4,4,0,0,1,0,否
