Name,Cyclomatic,CountLine,MaxNesting
com.campusrepair.service.impl.StatisticsServiceImpl.averageRepairDuration,6,18,2
com.campusrepair.service.impl.MaintenanceServiceImpl.continueRepair,4,15,1
com.campusrepair.service.impl.StatisticsServiceImpl.countByStatus,5,18,2
com.campusrepair.service.impl.RepairOrderServiceImpl.createOrder,4,33,1
com.campusrepair.service.impl.MaintenanceServiceImpl.ensureRecordComplete,6,18,2
com.campusrepair.service.impl.EvaluationServiceImpl.evaluateService,4,18,1
com.campusrepair.service.impl.EvaluationServiceImpl.getEvaluation,4,11,1
com.campusrepair.service.impl.DispatchServiceImpl.listPendingOrders,5,12,2
com.campusrepair.service.impl.MaintenanceServiceImpl.listTasks,6,43,2
com.campusrepair.service.impl.QueryServiceImpl.normalizeStatus,5,10,2
com.campusrepair.security.CurrentUser.requireId,5,15,2
com.campusrepair.service.impl.RepairOrderServiceImpl.requireOwnedOrder,4,8,1
com.campusrepair.service.impl.RepairOrderServiceImpl.saveImages,5,21,3
com.campusrepair.service.impl.OrderStateServiceImpl.submit,4,17,1
com.campusrepair.service.impl.RepairOrderServiceImpl.validateCreate,4,13,1
com.campusrepair.storage.LocalFileStorageServiceImpl.validateFile,6,12,1
com.campusrepair.service.impl.DispatchServiceImpl.validateMaintainer,4,15,1
