Name,Cyclomatic,CountLine,MaxNesting,CountStmtExe,Status
com.campusrepair.security.CurrentUser.requireId,2,6,1,,GUI_VERIFIED
com.campusrepair.service.impl.QueryServiceImpl.normalizeStatus,2,4,1,,GUI_VERIFIED
com.campusrepair.service.impl.MaintenanceServiceImpl.ensureRecordComplete,2,8,1,,GUI_VERIFIED
com.campusrepair.service.impl.StatisticsServiceImpl.averageRepairDuration,3,15,1,,GUI_VERIFIED
com.campusrepair.storage.LocalFileStorageServiceImpl.validateFile,,,,,MISSING_DATA
com.campusrepair.security.CurrentUser.principalToUserId,4,11,2,,GUI_VERIFIED
com.campusrepair.service.impl.QueryServiceImpl.normalizeStatusValue,2,5,1,,GUI_VERIFIED
com.campusrepair.service.impl.QueryServiceImpl.displayNameToCode,3,6,2,,GUI_VERIFIED
com.campusrepair.service.impl.MaintenanceServiceImpl.validateProcessDescription,2,6,1,,GUI_VERIFIED
com.campusrepair.service.impl.MaintenanceServiceImpl.validateCompletedRecord,2,5,1,,GUI_VERIFIED
com.campusrepair.service.impl.MaintenanceServiceImpl.validateProcessingRecord,3,8,1,,GUI_VERIFIED
com.campusrepair.service.impl.StatisticsServiceImpl.isValidDurationRecord,,,,,MISSING_DATA
com.campusrepair.service.impl.StatisticsServiceImpl.calculateDurationMinutes,,,,,MISSING_DATA
com.campusrepair.service.impl.StatisticsServiceImpl.roundedAverage,,,,,MISSING_DATA
com.campusrepair.storage.LocalFileStorageServiceImpl.validateOrderId,2,3,1,,GUI_VERIFIED
com.campusrepair.storage.LocalFileStorageServiceImpl.validateFilename,3,7,1,,GUI_VERIFIED
com.campusrepair.storage.LocalFileStorageServiceImpl.validateContent,2,3,1,,GUI_VERIFIED
com.campusrepair.storage.LocalFileStorageServiceImpl.validateExtension,2,5,1,,GUI_VERIFIED
