type,object,metric,actual,threshold,excess
CK,AcceptanceController,CBO,9,8,1.00
CK,AcceptanceController,LCOM,3,1,2.00
CK,RepairOrder,LCOM,8,1,7.00
CK,JwtTokenProvider,LCOM,19,1,18.00
CK,RepairOrderService,LCOM,6,1,5.00
CK,AcceptanceServiceImpl,CBO,9,8,1.00
CK,AcceptanceServiceImpl,LCOM,19,1,18.00
CK,DispatchServiceImpl,RFC,46,35,11.00
CK,DispatchServiceImpl,CBO,14,8,6.00
CK,DispatchServiceImpl,LCOM,60,1,59.00
CK,EvaluationServiceImpl,LCOM,13,1,12.00
CK,MaintenanceServiceImpl,WMC,17,15,2.00
CK,MaintenanceServiceImpl,RFC,64,35,29.00
CK,MaintenanceServiceImpl,CBO,13,8,5.00
CK,MaintenanceServiceImpl,LCOM,100,1,99.00
CK,OrderStateServiceImpl,LCOM,56,1,55.00
CK,QueryServiceImpl,LCOM,8,1,7.00
CK,RepairOrderServiceImpl,RFC,43,35,8.00
CK,RepairOrderServiceImpl,CBO,14,8,6.00
CK,RepairOrderServiceImpl,LCOM,31,1,30.00
CK,StatisticsServiceImpl,RFC,42,35,7.00
CK,StatisticsServiceImpl,CBO,11,8,3.00
CK,LocalFileStorageServiceImpl,LCOM,13,1,12.00
Cyclomatic,MaintenanceServiceImpl.listTasks,V(G),11,10,1
