class_name,WMC,RFC,DIT,NOC,CBO,LCOM,over_threshold
CampusRepairApplication,1,2,0,0,0,0,NO
ApiResponse,1,1,0,0,0,0,NO
BusinessException,1,1,1,0,1,0,NO
ErrorCode,2,2,0,0,0,1,NO
GlobalExceptionHandler,9,25,0,0,3,0,NO
MybatisPlusConfig,0,0,0,0,0,0,NO
WebConfig,2,13,0,0,1,1,NO
AcceptanceController,6,19,0,0,9,3,YES
DispatchController,5,15,0,0,8,0,NO
HealthController,0,0,0,0,1,0,NO
MaintenanceController,5,9,0,0,6,0,NO
QueryStatisticsController,4,9,0,0,3,0,NO
RepairCatalogController,2,5,0,0,4,0,NO
RepairOrderController,5,12,0,0,6,0,NO
UserController,6,10,0,0,6,0,NO
AbstractAuditableEntity,1,2,0,2,0,0,NO
AcceptanceRecord,2,4,0,0,0,0,NO
DispatchRecord,1,3,0,0,0,0,NO
EvaluationRecord,1,1,0,0,0,0,NO
OrderStatus,3,4,0,0,0,1,NO
OrderStatusLog,1,1,0,0,0,0,NO
RepairImage,1,4,0,0,0,0,NO
RepairLocation,2,2,0,0,0,0,NO
RepairOrder,5,9,1,0,0,8,YES
RepairRecord,2,3,0,0,0,1,NO
RepairType,2,2,0,0,0,0,NO
SysRole,2,4,0,0,0,1,NO
SysUser,3,8,1,0,0,1,NO
SysUserRole,1,2,0,0,0,0,NO
AcceptanceRequest,0,0,0,0,0,0,NO
DispatchAuditRequest,0,0,0,0,0,0,NO
DispatchOrderRequest,0,0,0,0,0,0,NO
EvaluationRequest,0,0,0,0,0,0,NO
LoginRequest,0,0,0,0,0,0,NO
MaintenanceProcessRequest,0,0,0,0,0,0,NO
MaintenanceTaskItem,0,0,0,0,0,0,NO
RepairOrderCreateRequest,0,0,0,0,0,0,NO
RepairOrderUpdateRequest,0,0,0,0,0,0,NO
ReworkRequest,0,0,0,0,0,0,NO
TypeCountItem,0,0,0,0,0,0,NO
AcceptanceRepository,3,11,1,0,2,0,NO
DispatchRepository,4,14,1,0,2,0,NO
EvaluationRepository,3,9,1,0,2,0,NO
MaintenanceRepository,5,15,1,0,2,0,NO
OrderStatusRepository,3,11,1,0,2,0,NO
RepairImageRepository,3,9,1,0,2,0,NO
RepairLocationRepository,2,7,1,0,2,0,NO
RepairOrderRepository,5,18,1,0,2,0,NO
RepairTypeRepository,2,7,1,0,2,0,NO
UserPermissionRepository,9,13,1,0,4,0,NO
ApiSecurityExceptionHandler,3,9,0,0,4,0,NO
CurrentUser,1,6,0,0,2,0,NO
JwtAuthenticationFilter,1,15,1,0,1,0,NO
JwtTokenProvider,7,28,0,0,0,19,YES
SecurityConfig,2,17,0,0,2,0,NO
AcceptanceService,3,3,0,0,1,0,NO
DispatchService,3,3,0,0,1,0,NO
EvaluationService,2,2,0,0,1,0,NO
FileStorageService,3,3,0,0,0,0,NO
MaintenanceService,5,5,0,0,3,0,NO
OrderStateService,8,8,0,0,0,0,NO
QueryService,2,2,0,0,1,0,NO
RepairCatalogService,2,2,0,0,2,0,NO
RepairOrderService,4,4,0,0,1,6,YES
StatisticsService,4,4,0,0,1,0,NO
UserPermissionService,5,5,0,0,2,0,NO
AcceptanceServiceImpl,7,21,0,0,9,19,YES
DispatchServiceImpl,12,46,0,0,14,60,YES
EvaluationServiceImpl,6,20,0,0,7,13,YES
MaintenanceServiceImpl,17,64,0,0,13,100,YES
OrderStateServiceImpl,12,31,0,0,8,56,YES
QueryServiceImpl,5,20,0,0,6,8,YES
RepairCatalogServiceImpl,2,3,0,0,5,1,NO
RepairOrderServiceImpl,10,43,0,0,14,31,YES
StatisticsServiceImpl,4,42,0,0,11,0,YES
UserPermissionServiceImpl,6,29,0,0,8,0,NO
LocalFileStorageServiceImpl,6,25,0,0,3,13,YES
