class_name,method_name,file_path,start_line,cyclomatic_complexity
CampusRepairApplication,main,backend/src/main/java/com/campusrepair/CampusRepairApplication.java,8,1
ApiResponse,success,backend/src/main/java/com/campusrepair/common/ApiResponse.java,4,1
BusinessException,errorCode,backend/src/main/java/com/campusrepair/common/BusinessException.java,15,1
ErrorCode,code,backend/src/main/java/com/campusrepair/common/ErrorCode.java,19,1
ErrorCode,message,backend/src/main/java/com/campusrepair/common/ErrorCode.java,20,1
GlobalExceptionHandler,handleBusiness,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,24,1
GlobalExceptionHandler,handleAuth,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,30,1
GlobalExceptionHandler,handleAccessDenied,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,36,1
GlobalExceptionHandler,handleAuthorizationService,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,42,1
GlobalExceptionHandler,handleAuthorizationDenied,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,48,1
GlobalExceptionHandler,handleValidation,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,54,2
GlobalExceptionHandler,handleNotFound,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,63,1
GlobalExceptionHandler,handleConstraintViolation,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,69,1
GlobalExceptionHandler,handleUnknown,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java,75,1
WebConfig,addCorsMappings,backend/src/main/java/com/campusrepair/config/WebConfig.java,17,1
WebConfig,addResourceHandlers,backend/src/main/java/com/campusrepair/config/WebConfig.java,25,1
AcceptanceController,acceptRepair,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,41,1
AcceptanceController,requestRework,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,55,1
AcceptanceController,getAcceptanceHistory,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,67,1
AcceptanceController,evaluate,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,76,1
AcceptanceController,getEvaluation,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,89,1
AcceptanceController,hasAdminAuthority,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java,96,1
DispatchController,listPending,backend/src/main/java/com/campusrepair/controller/DispatchController.java,39,1
DispatchController,auditOrder,backend/src/main/java/com/campusrepair/controller/DispatchController.java,45,1
DispatchController,dispatchOrder,backend/src/main/java/com/campusrepair/controller/DispatchController.java,54,1
DispatchController,listAll,backend/src/main/java/com/campusrepair/controller/DispatchController.java,63,1
DispatchController,getOrderHistory,backend/src/main/java/com/campusrepair/controller/DispatchController.java,69,1
MaintenanceController,listTasks,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java,34,1
MaintenanceController,acceptTask,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java,39,1
MaintenanceController,processTask,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java,45,1
MaintenanceController,continueRepair,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java,53,1
MaintenanceController,getHistory,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java,59,1
QueryStatisticsController,getStatusStats,backend/src/main/java/com/campusrepair/controller/QueryStatisticsController.java,28,1
QueryStatisticsController,getTypeStats,backend/src/main/java/com/campusrepair/controller/QueryStatisticsController.java,33,1
QueryStatisticsController,getPeriodStats,backend/src/main/java/com/campusrepair/controller/QueryStatisticsController.java,38,1
QueryStatisticsController,getAverageRepairDuration,backend/src/main/java/com/campusrepair/controller/QueryStatisticsController.java,46,1
RepairCatalogController,getRepairTypes,backend/src/main/java/com/campusrepair/controller/RepairCatalogController.java,25,1
RepairCatalogController,getRepairLocations,backend/src/main/java/com/campusrepair/controller/RepairCatalogController.java,30,1
RepairOrderController,createOrder,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java,37,1
RepairOrderController,createOrderWithImages,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java,45,2
RepairOrderController,getMyOrders,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java,54,1
RepairOrderController,getProgress,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java,59,1
RepairOrderController,updateOrder,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java,64,1
UserController,login,backend/src/main/java/com/campusrepair/controller/UserController.java,32,1
UserController,listUsers,backend/src/main/java/com/campusrepair/controller/UserController.java,38,1
UserController,updateUserStatus,backend/src/main/java/com/campusrepair/controller/UserController.java,45,1
UserController,assignRole,backend/src/main/java/com/campusrepair/controller/UserController.java,52,1
UserController,getMyRoles,backend/src/main/java/com/campusrepair/controller/UserController.java,58,1
UserController,getUserRoles,backend/src/main/java/com/campusrepair/controller/UserController.java,64,1
AbstractAuditableEntity,touchUpdate,backend/src/main/java/com/campusrepair/domain/AbstractAuditableEntity.java,19,1
AcceptanceRecord,pass,backend/src/main/java/com/campusrepair/domain/AcceptanceRecord.java,23,1
AcceptanceRecord,reject,backend/src/main/java/com/campusrepair/domain/AcceptanceRecord.java,28,3
DispatchRecord,changeStatus,backend/src/main/java/com/campusrepair/domain/DispatchRecord.java,24,3
EvaluationRecord,validateScore,backend/src/main/java/com/campusrepair/domain/EvaluationRecord.java,23,3
OrderStatus,code,backend/src/main/java/com/campusrepair/domain/OrderStatus.java,27,1
OrderStatus,displayName,backend/src/main/java/com/campusrepair/domain/OrderStatus.java,28,1
OrderStatus,fromCode,backend/src/main/java/com/campusrepair/domain/OrderStatus.java,29,1
OrderStatusLog,describeTransition,backend/src/main/java/com/campusrepair/domain/OrderStatusLog.java,24,2
RepairImage,getExtension,backend/src/main/java/com/campusrepair/domain/RepairImage.java,23,3
RepairLocation,enable,backend/src/main/java/com/campusrepair/domain/RepairLocation.java,21,1
RepairLocation,disable,backend/src/main/java/com/campusrepair/domain/RepairLocation.java,22,1
RepairOrder,getCreateTime,backend/src/main/java/com/campusrepair/domain/RepairOrder.java,32,1
RepairOrder,setCreateTime,backend/src/main/java/com/campusrepair/domain/RepairOrder.java,37,1
RepairOrder,touchUpdate,backend/src/main/java/com/campusrepair/domain/RepairOrder.java,42,1
RepairOrder,updateContent,backend/src/main/java/com/campusrepair/domain/RepairOrder.java,47,5
RepairOrder,isOwnedBy,backend/src/main/java/com/campusrepair/domain/RepairOrder.java,59,2
RepairRecord,finish,backend/src/main/java/com/campusrepair/domain/RepairRecord.java,25,1
RepairRecord,recordUnfinished,backend/src/main/java/com/campusrepair/domain/RepairRecord.java,30,1
RepairType,enable,backend/src/main/java/com/campusrepair/domain/RepairType.java,20,1
RepairType,disable,backend/src/main/java/com/campusrepair/domain/RepairType.java,21,1
SysRole,rename,backend/src/main/java/com/campusrepair/domain/SysRole.java,19,3
SysRole,changeRemark,backend/src/main/java/com/campusrepair/domain/SysRole.java,26,2
SysUser,changeStatus,backend/src/main/java/com/campusrepair/domain/SysUser.java,29,4
SysUser,updateProfile,backend/src/main/java/com/campusrepair/domain/SysUser.java,37,4
SysUser,isEnabled,backend/src/main/java/com/campusrepair/domain/SysUser.java,46,1
SysUserRole,matches,backend/src/main/java/com/campusrepair/domain/SysUserRole.java,21,4
AcceptanceRepository,saveAcceptance,backend/src/main/java/com/campusrepair/repository/AcceptanceRepository.java,12,1
AcceptanceRepository,findByOrder,backend/src/main/java/com/campusrepair/repository/AcceptanceRepository.java,13,1
AcceptanceRepository,findLatestByOrder,backend/src/main/java/com/campusrepair/repository/AcceptanceRepository.java,14,1
DispatchRepository,save,backend/src/main/java/com/campusrepair/repository/DispatchRepository.java,12,1
DispatchRepository,findLatestByOrder,backend/src/main/java/com/campusrepair/repository/DispatchRepository.java,13,1
DispatchRepository,findTasksByMaintainer,backend/src/main/java/com/campusrepair/repository/DispatchRepository.java,14,1
DispatchRepository,updateStatus,backend/src/main/java/com/campusrepair/repository/DispatchRepository.java,15,1
EvaluationRepository,saveEvaluation,backend/src/main/java/com/campusrepair/repository/EvaluationRepository.java,12,1
EvaluationRepository,findByOrder,backend/src/main/java/com/campusrepair/repository/EvaluationRepository.java,13,1
EvaluationRepository,existsByOrder,backend/src/main/java/com/campusrepair/repository/EvaluationRepository.java,14,1
MaintenanceRepository,saveRepairRecord,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java,12,1
MaintenanceRepository,findByOrder,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java,13,1
MaintenanceRepository,findLatestByOrder,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java,14,1
MaintenanceRepository,updateRepairRecord,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java,15,1
MaintenanceRepository,findCompletedRecords,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java,17,1
OrderStatusRepository,appendLog,backend/src/main/java/com/campusrepair/repository/OrderStatusRepository.java,12,1
OrderStatusRepository,findByOrder,backend/src/main/java/com/campusrepair/repository/OrderStatusRepository.java,14,1
OrderStatusRepository,findLatest,backend/src/main/java/com/campusrepair/repository/OrderStatusRepository.java,20,1
RepairImageRepository,save,backend/src/main/java/com/campusrepair/repository/RepairImageRepository.java,12,1
RepairImageRepository,findByOrder,backend/src/main/java/com/campusrepair/repository/RepairImageRepository.java,17,1
RepairImageRepository,deleteByOrder,backend/src/main/java/com/campusrepair/repository/RepairImageRepository.java,23,1
RepairLocationRepository,findById,backend/src/main/java/com/campusrepair/repository/RepairLocationRepository.java,12,1
RepairLocationRepository,findAllEnabled,backend/src/main/java/com/campusrepair/repository/RepairLocationRepository.java,14,1
RepairOrderRepository,insertOrder,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java,14,2
RepairOrderRepository,findById,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java,20,1
RepairOrderRepository,findByReporter,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java,22,1
RepairOrderRepository,updateOrder,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java,28,1
RepairOrderRepository,findByFilters,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java,33,2
RepairTypeRepository,findById,backend/src/main/java/com/campusrepair/repository/RepairTypeRepository.java,12,1
RepairTypeRepository,findAllEnabled,backend/src/main/java/com/campusrepair/repository/RepairTypeRepository.java,14,1
UserPermissionRepository,findUserByUsername,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,17,1
UserPermissionRepository,findUserById,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,22,1
UserPermissionRepository,findRolesByUserId,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,29,1
UserPermissionRepository,saveUser,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,31,1
UserPermissionRepository,updateStatus,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,36,1
UserPermissionRepository,saveUserRole,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,39,1
UserPermissionRepository,countUserRole,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,42,1
UserPermissionRepository,findRoleById,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,45,1
UserPermissionRepository,findUsers,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java,59,1
ApiSecurityExceptionHandler,commence,backend/src/main/java/com/campusrepair/security/ApiSecurityExceptionHandler.java,21,1
ApiSecurityExceptionHandler,handle,backend/src/main/java/com/campusrepair/security/ApiSecurityExceptionHandler.java,27,1
ApiSecurityExceptionHandler,write,backend/src/main/java/com/campusrepair/security/ApiSecurityExceptionHandler.java,32,1
CurrentUser,requireId,backend/src/main/java/com/campusrepair/security/CurrentUser.java,12,6
JwtAuthenticationFilter,doFilterInternal,backend/src/main/java/com/campusrepair/security/JwtAuthenticationFilter.java,28,5
JwtTokenProvider,generateToken,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,26,2
JwtTokenProvider,generateToken,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,37,1
JwtTokenProvider,validateAndGetSubject,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,41,1
JwtTokenProvider,parseUserId,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,45,1
