type_name,method_count,file_path
CampusRepairApplication,1,backend/src/main/java/com/campusrepair/CampusRepairApplication.java
ApiResponse,1,backend/src/main/java/com/campusrepair/common/ApiResponse.java
BusinessException,1,backend/src/main/java/com/campusrepair/common/BusinessException.java
ErrorCode,2,backend/src/main/java/com/campusrepair/common/ErrorCode.java
GlobalExceptionHandler,9,backend/src/main/java/com/campusrepair/common/GlobalExceptionHandler.java
MybatisPlusConfig,0,backend/src/main/java/com/campusrepair/config/MybatisPlusConfig.java
WebConfig,2,backend/src/main/java/com/campusrepair/config/WebConfig.java
AcceptanceController,6,backend/src/main/java/com/campusrepair/controller/AcceptanceController.java
DispatchController,5,backend/src/main/java/com/campusrepair/controller/DispatchController.java
HealthController,0,backend/src/main/java/com/campusrepair/controller/HealthController.java
MaintenanceController,5,backend/src/main/java/com/campusrepair/controller/MaintenanceController.java
QueryStatisticsController,4,backend/src/main/java/com/campusrepair/controller/QueryStatisticsController.java
RepairCatalogController,2,backend/src/main/java/com/campusrepair/controller/RepairCatalogController.java
RepairOrderController,5,backend/src/main/java/com/campusrepair/controller/RepairOrderController.java
UserController,6,backend/src/main/java/com/campusrepair/controller/UserController.java
AbstractAuditableEntity,1,backend/src/main/java/com/campusrepair/domain/AbstractAuditableEntity.java
AcceptanceRecord,2,backend/src/main/java/com/campusrepair/domain/AcceptanceRecord.java
DispatchRecord,1,backend/src/main/java/com/campusrepair/domain/DispatchRecord.java
EvaluationRecord,1,backend/src/main/java/com/campusrepair/domain/EvaluationRecord.java
OrderStatus,3,backend/src/main/java/com/campusrepair/domain/OrderStatus.java
OrderStatusLog,1,backend/src/main/java/com/campusrepair/domain/OrderStatusLog.java
RepairImage,1,backend/src/main/java/com/campusrepair/domain/RepairImage.java
RepairLocation,2,backend/src/main/java/com/campusrepair/domain/RepairLocation.java
RepairOrder,5,backend/src/main/java/com/campusrepair/domain/RepairOrder.java
RepairRecord,2,backend/src/main/java/com/campusrepair/domain/RepairRecord.java
RepairType,2,backend/src/main/java/com/campusrepair/domain/RepairType.java
SysRole,2,backend/src/main/java/com/campusrepair/domain/SysRole.java
SysUser,3,backend/src/main/java/com/campusrepair/domain/SysUser.java
SysUserRole,1,backend/src/main/java/com/campusrepair/domain/SysUserRole.java
AcceptanceRequest,0,backend/src/main/java/com/campusrepair/dto/AcceptanceRequest.java
DispatchAuditRequest,0,backend/src/main/java/com/campusrepair/dto/DispatchAuditRequest.java
DispatchOrderRequest,0,backend/src/main/java/com/campusrepair/dto/DispatchOrderRequest.java
EvaluationRequest,0,backend/src/main/java/com/campusrepair/dto/EvaluationRequest.java
LoginRequest,0,backend/src/main/java/com/campusrepair/dto/LoginRequest.java
MaintenanceProcessRequest,0,backend/src/main/java/com/campusrepair/dto/MaintenanceProcessRequest.java
MaintenanceTaskItem,0,backend/src/main/java/com/campusrepair/dto/MaintenanceTaskItem.java
RepairOrderCreateRequest,0,backend/src/main/java/com/campusrepair/dto/RepairOrderCreateRequest.java
RepairOrderUpdateRequest,0,backend/src/main/java/com/campusrepair/dto/RepairOrderUpdateRequest.java
ReworkRequest,0,backend/src/main/java/com/campusrepair/dto/ReworkRequest.java
TypeCountItem,0,backend/src/main/java/com/campusrepair/dto/TypeCountItem.java
AcceptanceRepository,3,backend/src/main/java/com/campusrepair/repository/AcceptanceRepository.java
DispatchRepository,4,backend/src/main/java/com/campusrepair/repository/DispatchRepository.java
EvaluationRepository,3,backend/src/main/java/com/campusrepair/repository/EvaluationRepository.java
MaintenanceRepository,5,backend/src/main/java/com/campusrepair/repository/MaintenanceRepository.java
OrderStatusRepository,3,backend/src/main/java/com/campusrepair/repository/OrderStatusRepository.java
RepairImageRepository,3,backend/src/main/java/com/campusrepair/repository/RepairImageRepository.java
RepairLocationRepository,2,backend/src/main/java/com/campusrepair/repository/RepairLocationRepository.java
RepairOrderRepository,5,backend/src/main/java/com/campusrepair/repository/RepairOrderRepository.java
RepairTypeRepository,2,backend/src/main/java/com/campusrepair/repository/RepairTypeRepository.java
UserPermissionRepository,9,backend/src/main/java/com/campusrepair/repository/UserPermissionRepository.java
ApiSecurityExceptionHandler,3,backend/src/main/java/com/campusrepair/security/ApiSecurityExceptionHandler.java
CurrentUser,1,backend/src/main/java/com/campusrepair/security/CurrentUser.java
JwtAuthenticationFilter,1,backend/src/main/java/com/campusrepair/security/JwtAuthenticationFilter.java
JwtTokenProvider,7,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java
SecurityConfig,2,backend/src/main/java/com/campusrepair/security/SecurityConfig.java
AcceptanceService,3,backend/src/main/java/com/campusrepair/service/AcceptanceService.java
DispatchService,3,backend/src/main/java/com/campusrepair/service/DispatchService.java
EvaluationService,2,backend/src/main/java/com/campusrepair/service/EvaluationService.java
FileStorageService,3,backend/src/main/java/com/campusrepair/service/FileStorageService.java
MaintenanceService,5,backend/src/main/java/com/campusrepair/service/MaintenanceService.java
OrderStateService,8,backend/src/main/java/com/campusrepair/service/OrderStateService.java
QueryService,2,backend/src/main/java/com/campusrepair/service/QueryService.java
RepairCatalogService,2,backend/src/main/java/com/campusrepair/service/RepairCatalogService.java
RepairOrderService,4,backend/src/main/java/com/campusrepair/service/RepairOrderService.java
StatisticsService,4,backend/src/main/java/com/campusrepair/service/StatisticsService.java
UserPermissionService,5,backend/src/main/java/com/campusrepair/service/UserPermissionService.java
AcceptanceServiceImpl,7,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java
DispatchServiceImpl,12,backend/src/main/java/com/campusrepair/service/impl/DispatchServiceImpl.java
EvaluationServiceImpl,6,backend/src/main/java/com/campusrepair/service/impl/EvaluationServiceImpl.java
MaintenanceServiceImpl,17,backend/src/main/java/com/campusrepair/service/impl/MaintenanceServiceImpl.java
OrderStateServiceImpl,12,backend/src/main/java/com/campusrepair/service/impl/OrderStateServiceImpl.java
QueryServiceImpl,5,backend/src/main/java/com/campusrepair/service/impl/QueryServiceImpl.java
RepairCatalogServiceImpl,2,backend/src/main/java/com/campusrepair/service/impl/RepairCatalogServiceImpl.java
RepairOrderServiceImpl,10,backend/src/main/java/com/campusrepair/service/impl/RepairOrderServiceImpl.java
StatisticsServiceImpl,4,backend/src/main/java/com/campusrepair/service/impl/StatisticsServiceImpl.java
UserPermissionServiceImpl,6,backend/src/main/java/com/campusrepair/service/impl/UserPermissionServiceImpl.java
LocalFileStorageServiceImpl,6,backend/src/main/java/com/campusrepair/storage/LocalFileStorageServiceImpl.java
